,,,,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals\,
,,,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves\,
Season,Name,Age,Tm,Lg,Pos,G,MP,PPG,FGA,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.\,
2015-16,Stephen Curry,27,GSW,NBA,PG,79,2700,30.1,1598,0.504,17.4,0.446,0.225,0.084,0.048,0.088,0.554,0.566,0.696,0.422,0.447,0.443,0.454,0.372,0.004,7,0.547,0.129,0.482,11,2\,
2015-16,James Harden,26,HOU,NBA,SG,82,3125,29,1617,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,0.494,0.65,0.328,0.426,0.402,0.359,0.181,0.011,16,0.521,0.094,0.274,0,0\,
2015-16,LeBron James,31,CLE,NBA,SF,76,2709,25.3,1416,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,0.573,0.722,0.361,0.348,0.404,0.309,0.378,0.083,111,0.598,0.117,0.273,0,0\,
2015-16,Kevin Durant,27,OKC,NBA,SF,72,2578,28.2,1381,0.505,14.6,0.652,0.212,0.098,0.182,0.161,0.348,0.569,0.737,0.437,0.542,0.455,0.387,0.518,0.081,106,0.64,0.037,0.389,0,0\,
2015-16,DeMarcus Cousins,25,SAC,NBA,C,65,2246,26.9,1332,0.451,9.2,0.842,0.36,0.286,0.035,0.161,0.158,0.473,0.595,0.412,0.255,0.358,0.333,0.55,0.062,73,1,0.033,0.286,1,0\,
2014-15,James Harden,25,HOU,NBA,SG,81,2981,27.4,1470,0.44,14,0.622,0.31,0.107,0.074,0.131,0.378,0.48,0.618,0.291,0.431,0.337,0.375,0.166,0.023,33,0.51,0.108,0.467,1,0\,
2014-15,LeBron James,30,CLE,NBA,SF,69,2493,25.3,1279,0.488,12.6,0.735,0.332,0.127,0.116,0.159,0.265,0.536,0.722,0.414,0.356,0.377,0.354,0.315,0.072,88,0.467,0.115,0.385,1,0\,
2014-15,DeMarcus Cousins,24,SAC,NBA,C,59,2013,24.1,1066,0.467,7.7,0.992,0.419,0.257,0.078,0.237,0.008,0.469,0.633,0.318,0.349,0.383,0.25,0.52,0.072,72,1,0.125,0,0,0\,
2014-15,Anthony Davis,21,NOP,NBA,PF,68,2455,24.4,1199,0.535,9.5,0.99,0.354,0.169,0.178,0.289,0.01,0.54,0.734,0.433,0.451,0.419,0.083,0.715,0.135,150,1,0.333,0,3,0\,
